,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_temp,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,average_cadence,average_watts,weighted_average_watts,kilojoules,max_watts
0,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,15591.3,3556,3836,7.0,Ride,,4332231042,garmin_push_5816067849,4631030279,2020-11-13T01:15:42Z,2020-11-12T19:15:42Z,(GMT-06:00) America/Mexico_City,-21600.0,"[20.583086, -100.423498]","[20.583301, -100.422366]",,,,20.583086,-100.423498,0,1,0,1,0,"{'id': 'a4332231042', 'summary_polyline': 'clr|Bd_|cRbDy@j@?DDN^HFv@QC?INKE_@@e@Jm@PMNLEWKB?A@VMr@UTKH_@P[M]MAWL?BLh@VLRBl@Ul@OT?@LABuA^WRM?YF[B[L}@h@CKBIpAg@TILA?CK?eBp@}@Ai@G', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4631030279,4.385,7.2,26.0,False,True,130.2,152.0,False,True,1803.4,1789.8,0,0,False,,,,,
1,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,13117.6,3729,5679,32.0,Ride,,4298641588,garmin_push_5783048743,4595285767,2020-11-06T02:05:33Z,2020-11-05T20:05:33Z,(GMT-06:00) America/Mexico_City,-21600.0,"[20.54371, -100.449996]","[20.583245, -100.422339]",,,,20.54371,-100.449996,0,3,0,4,0,"{'id': 'a4298641588', 'summary_polyline': 'emk|BncbdRdApBxA~BXr@NJ@ID?AAFACDG?BJfClDdAlBvCnEBH@PKPID_Ab@iOnGiJfEe@XADDHD@TAv@YpAq@jH_DdCmAxDcBbDqAjBgA^Ox@W`Ac@rAu@jAg@dAu@l@Yz@Kp@@t@H`ATjBn@`@HB?AIOG{@_@mAc@{@OcAEaBRaC|@GAWM_AiAIQBWHK\\UZa@fAmA|@s@`DaDp@i@v@a@~@SxDW`DMz@IJE\\w@?GEK@IJi@Pc@Hm@l@{C~@mF\\_A^o@?WS[LiAAEGGq@OcCIoDt@qA^qE`A[@QC}BaAc@o@KsAEeBGm@IO{@q@kAu@QIiEsAiDy@u@By@RyFlDYNCGDGD?@C@@?HgA~@E?YW[IO?GBkCrBQLUH_AH}BD_KJoCFwA?eDJoB@g@E]@mFjBsEj@KHELLjAKNMAMKM[u@kAe@m@kAqAoAeA}FyDIKAG?GHMtA}@`CoBjBsAn@k@Xe@AkBGs@m@yB[{@e@c@eFcCaE{B}@i@g@g@k@w@QWWs@i@qB[uAu@qCGi@_AmDOgB?[QoBEo@?i@DQLGBBLIJIFQC]Y_@MaAEQGQY[e@WSEU?sEV]I@@MSc@oEg@eEQg@ESGGk@D]C{BViCLkAJmAD[AMUMeAQu@WgBiBqKwAgGo@_DYeBQm@GCMAqALqAFcIh@o@Lq@ZaAVgLnA}ATSDk@V]XE?e@[e@q@Wi@oC{MKM[Aa@KKSCA]@u@JgCd@oAPgHzAm@PKHG@u@Ai@B]PiAVe@@eBPkEn@', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4595285767,3.518,7.4,21.0,False,True,131.0,153.0,False,True,1809.4,1761.4,0,0,False,,,,,
2,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,15.8,20,241,0.0,Ride,,4298640064,garmin_push_5783047262,4595284209,2020-11-06T01:11:34Z,2020-11-05T19:11:34Z,(GMT-06:00) America/Mexico_City,-21600.0,"[20.578043, -100.418537]","[20.578071, -100.418517]",,,,20.578043,-100.418537,0,2,0,1,0,"{'id': 'a4298640064', 'summary_polyline': 'wcr|Bz~{cRA@ECE?FA', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4595284209,0.79,0.2,23.0,False,True,105.0,151.0,False,True,1802.6,1798.8,0,0,False,,,,,
3,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,21528.4,6153,11726,134.0,Ride,,4269402216,garmin_push_5755882078,4567081685,2020-11-01T00:41:08Z,2020-10-31T18:41:08Z,(GMT-06:00) America/Mexico_City,-21600.0,"[20.583649, -100.422766]","[20.583317, -100.422267]",,,,20.583649,-100.422766,1,2,0,6,0,"{'id': 'a4269402216', 'summary_polyline': 'uds|B|m{cRwCyJk@gCYy@m@mEUI}@VqCnAWD_Aw@S]WYY{@kE_Qy@kCICs@NiCt@a@DeAc@SoBm@sCgBoFKo@]Fg@ZY\\oAzBe@dAO`@MT}@|@q@NCDr@[PO^g@dB{CbAqBPOz@a@?ED@ADAKiAp@q@bAoCjFUTYRkDbAaBp@WRa@t@@^HFP?DEKAJIvBaAv@k@|BiAhAc@JMDOIs@Dc@hCwE\\Uj@YBGSy@MWGi@k@kB{BiIsCkMu@oEe@{BCWJK|@Sj@SlAWf@W`@MrFgAjJsBEI[?AOFIOGDE@`@NTACXGRB`GsA`BQfPwC\\KLMLi@Ic@Ug@UWYw@mCaKyAiFoBiIc@gAoB}I{@qCw@}Ci@kCIyAD_AdBcMp@yDTeDCgCUaDI{Bg@}EYkDSgAs@N{ABC@@ByI@yFFq@FcA`@aAf@}@j@eAz@eAjAORBHK?KWIC?JFXETDXtApBXn@DTeApCYd@WJmAPSPEC@GC?@ECCF?BBE?D@Wt@EXK`CGrCQtAObDR|AJ`@z@HA?BHAAIHKAq@c@_ANwBf@kD~@CRb@dAHn@l@~Az@nDhAhFx@pEbAzCBZXb@BCFDGEBEAHC?Me@tBs@hA_A|A_BfCoBLDv@lCf@tAD`@jAhE@RAFQJmBf@_Av@_@RY\\G?L?CCBKIEI@q@X{Cv@WJCNXdAE?f@f@Vl@\\jB~@dDIGBHIEABDDCBJ@BCCJBPb@fCVh@U^IACCDOCA}@FAC?Dj@Jn@?VFRd@`@~AZhBGFwAb@gEj@{Cv@aEz@wFzAgEr@yCz@qAT_@VK?|@WHMc@uAScAMw@EoAGEqAA{BDqDPsDAa@GGS?WIQIBP@LC[B?GI?XCDDADQ@AEB?ADJSEH@BECHC?DCA@DHAKCLz@HF^FvA?VB@DP~DB~BPrCEtB@`ABb@T?hAOdMqBXMxAvA\\t@\\dC`@pBDbIf@rI@vHFn@DFC^D^MbAgBbGEz@F~BAjAVbIJp@Lb@d@t@lCvDP\\CZRH\\YdAm@x@s@R_@kB}G}AeFCSBElAk@`Ai@PQRw@^yCVe@lBgAl@m@TMpCy@zB{@j@q@jDyGhAi@r@zBpBjIl@tGBjASzFa@vHtDu@h@GzBVh@?lEgAFBV\\J`@TDPVRLPZPFPTF@b@MhCoATQTJn@jEhEvO', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4567081685,3.499,8.8,25.0,False,True,128.1,173.0,False,True,1912.4,1767.8,0,0,False,,,,,
4,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,0.0,2368,2368,0.0,Ride,,3995429001,garmin_push_5470753604,4276884756,2020-08-30T23:13:53Z,2020-08-30T18:13:53Z,(GMT-06:00) America/Mexico_City,-18000.0,,,,,,,,0,0,0,1,0,"{'id': 'a3995429001', 'summary_polyline': None, 'resource_state': 2}",True,False,False,False,followers_only,False,,False,4276884756,0.0,0.0,32.0,False,True,102.4,126.0,False,True,,,0,0,False,40.0,,,,
5,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista por la tarde,0.0,1802,1802,0.0,Ride,,3995428123,garmin_push_5470752591,4276883749,2020-08-29T22:29:02Z,2020-08-29T17:29:02Z,(GMT-06:00) America/Mexico_City,-18000.0,,,,,,,,0,0,0,1,0,"{'id': 'a3995428123', 'summary_polyline': None, 'resource_state': 2}",True,False,False,False,followers_only,False,,False,4276883749,0.0,0.0,32.0,False,True,114.0,128.0,False,True,,,0,0,False,40.2,,,,
6,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,21646.1,7054,10251,192.0,Ride,,3979853853,garmin_push_5454975980,4260163994,2020-08-28T23:01:36Z,2020-08-28T18:01:36Z,(GMT-06:00) America/Mexico_City,-18000.0,"[20.594266, -100.413054]","[20.583241, -100.422301]",,,,20.594266,-100.413054,5,2,0,1,0,"{'id': 'a3979853853', 'summary_polyline': 'ciu|Br|zcR@MSi@aAyDaBsFu@}Cs@cC[oBDy@z@kDJS?[A[G?@a@[OCE?qAm@sOQeB?}EAwAIs@C@H\\C[w@gE]}@e@{@WUB@gCaFgAcDQgAIuA\\oC@u@EwAWqB[qAE@EG[aAeAsBCa@BkAz@cJE_DSoEOu@Oa@uC_De@}@w@eDqCuHuAgGUyAGkAHuAt@sDZyBDc@GwB?aBz@uFPgFXkC@a@NAFKFClEK~AHJJjFD|BHrC@pCIl@G|AYlBsAB@h@KXPXh@LAbDmBvBqBX@AI@?CA?BCI@KlAwBfAoCz@}E?]`A}CtAoCv@aA\\u@ZQ^cAn@Ob@E^?`BSFGCEW?ZEADg@Dx@AnARx@h@o@e@VJ_@MCJDn@JDfBOpEs@b@ALLh@pDLXV?hBUdQaCpA]j@GPG?GGK_@}BM{A_@uB]{C?_@~@K_ARVpBEFESB?OkB\\AzBe@dBUd@AXDj@ZXZPXVv@@CTx@A@jAnD@FFCc@iALl@h@pA@PPt@v@|BDG?FQ]c@{Al@vBIAD@Vt@l@zB^dB@d@z@bHCHLn@Fn@Nf@HDTIj@PxBi@L@LItFgBfBk@lAWzAs@xAa@r@CxFs@bAG|Cg@`FuAbAQlFuAz@QpF_BdB]lCu@x@]dGqAt@W~A[DB^`Bd@`D^hAJv@b@rBLbAB~@E~@y@fBKb@C`@?^Jp@Pd@Xd@D\\QNEh@GHDK\\ITa@`@_@lAg@XURW\\{@x@w@rAk@RUZk@Vy@n@e@NURw@PmBPe@BQAI@B@AQBMVC`@C~AYhA{@v@_AlBSRiA`@e@Zw@bA_DtCW^SBs@p@_@RWBEV@Pq@LY`@Ef@EJSBa@EEFGn@SHs@JmC|BGVq@\\i@b@gCzBELWLGNYCUD]R}KxJaF~DcIdH_@RsKGuGK_D@DEmAOgFoA_@CW@k@Jg@LIJsTfGBBiPnEa@RaMxCe@RLTDTk@TCRHh@`CdJTj@Z^NzAj@nBrAzF|AfGXx@dApEtBpHvAvClBhDxA|Ct@pA`AxAnC|CHZO\\gLjIkBdBeDpBgOzFgSbHMN@PCX|BdIz@xDPjAb@zEBt@SxEC~AMxAA`AMhBVDlAc@bB[`CXn@BnEqAp@x@PFN^XJT`@LFFTJFj@SrBeAt@UJRl@|D~D~NJT?H', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4260163994,3.069,7.5,27.0,False,True,124.6,172.0,False,True,1966.0,1807.4,0,0,False,,,,,
7,2,"{'id': 27541670, 'resource_state': 1}",Caminata vespertina,4051.7,3966,4434,24.0,Walk,,3975969831,garmin_push_5450814731,4256001172,2020-08-27T01:42:15Z,2020-08-26T20:42:15Z,(GMT-06:00) America/Mexico_City,-18000.0,"[20.593451, -100.38782]","[20.59098, -100.38698]",,,,20.593451,-100.38782,0,0,0,1,0,"{'id': 'a3975969831', 'summary_polyline': 'adu|Bz~ucRRRIZ?b@ERAVKlAON?DRt@Jj@FLFf@A`@JRJf@^d@F^@d@GDO^G`@?PFb@Vr@BPARGF?`@ETDRNRJBEHMPBK@J@WBGtAe@P?XFd@CFOj@c@IWCE?FFJCBBIZ?FIK?ACDDABG?AFIEEACC@ER@RCTGVOFANTLGH@ACC?]Fe@\\IBUBIFOA}@Lq@ZAb@DV@^F\\`@jAPt@Zn@Ah@Tf@RdAJPRr@KFm@Lc@Pm@HABBDKD?BBDXPJ@NHPBREXAb@?JGF?HLVx@@LZ~A\\~@H\\@d@v@hBF^CRLNl@@FEZG@A?GDETKBGAAn@Gd@Qb@AT@r@O\\MH?XMZA\\Ih@WAOGOOo@MYOk@@IGOBQC]KYIGMg@Eg@We@?QM_@KcAQ{@MYESKq@Ca@[e@Ia@A[KUMc@EE[kBOk@?]Ia@i@uAECG@k@ZeBp@u@De@U@a@Qg@?IGISk@a@w@K[SYQy@IMIe@?YU{@C_@YFO?_@F]RGKQsAM]I{@IWCCYBAGUAAAKo@A_@@S?_@BUB@A@B@MrB@b@P?zBWfAU`Ac@VOv@o@vBuA', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4256001172,1.022,9.2,29.0,,True,124.7,153.0,False,True,1935.0,1878.4,0,0,False,48.5,,,,
8,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,0.0,421,421,0.0,Ride,,3957298068,garmin_push_5431377424,4236103808,2020-08-19T01:50:53Z,2020-08-18T20:50:53Z,(GMT-06:00) America/Mexico_City,-18000.0,,,,,,,,0,0,0,1,0,"{'id': 'a3957298068', 'summary_polyline': None, 'resource_state': 2}",True,False,False,False,followers_only,False,,False,4236103808,0.0,0.0,32.0,False,True,94.3,111.0,False,True,,,0,0,False,30.6,,,,
9,2,"{'id': 27541670, 'resource_state': 1}",Vuelta ciclista vespertina,10586.2,3169,6020,110.0,Ride,,3919004954,garmin_push_5391518212,4194815526,2020-08-14T00:39:53Z,2020-08-13T19:39:53Z,(GMT-06:00) America/Mexico_City,-18000.0,"[20.583224, -100.415818]","[20.588103, -100.396899]",,,,20.583224,-100.415818,0,3,0,3,0,"{'id': 'a3919004954', 'summary_polyline': 'cds|Bzm{cR?LWByIVqI`@KAEGAQ?BEIDi@`@yBbAiId@wC@kADS?I]SOSIQSQWq@u@eCGq@qAsFOQY?c@HaCh@_Cn@]JCFOMEwDk@qFOw@m@uBc@uB{@_DE]WaAKMYMa@A}@P{Af@}Ab@oC~@cD|@k@TsA`@cA`@u@TuB~@?FO@SOAQAiAEeAIoAGiBMeBIeCScDAaDBmAGgAg@{CMo@Qq@s@qAKQE@KKw@wAeAaC@A]y@e@wASu@Ks@CgAEM[GiBCqABmAJ_CBa@DsB?]ECEEu@EEG?E@B@?BC@AGNMJ?C?AC@@GBD?C?DCE@DEC@@D@CBk@Ew@EkDD[BGHC`BKLGPAhDIfBSHAFKIG@?ED@CFDL@D?`Be@LOG]c@cA@Aa@oABiAT_BA[JkBRoBBkAAcA@yAMmCE]Oo@O[W[sBoBa@g@KWiA}DaCkG[oA_AuEIYSmB@@FcBV_BH{@n@uD@_AGc@AoBDy@r@wEDo@@eAFGPUFA?CL@FM?BvCRp@@dBCh@IDE@K[sCEcA?MHERCt@?dDBzAD`CBlBCjBKt@MhA[j@SPS@EVMF@LFZ`@lBrCjBzCjBlCNXFRBXk@bAi@lAQRGD_@F_@Dk@PIFIEFKACC\\Or@OjDKtACjBKxC?v@Ht@AB{@PaElABHA@sAXONB\\T|@zAvFh@|BN|@h@pBr@fDVt@f@dCNVb@IZQXEj@[l@a@\\e@j@a@tCmCNIB?NRVv@n@dCd@hAdA|D@T^tA?DC?B?Pd@Jd@VxAf@xBt@nC`AhEDZPp@xAnGD@@D?LHZCRLr@AZBEA?@?KHAE@?@BC@ACAD?AB@AE@H@AA@?MCA@IGy@DGCC?K@I@??E@FDAT^f@dBDPON?A', 'resource_state': 2}",False,False,False,False,followers_only,False,,False,4194815526,3.341,7.1,28.0,False,True,115.1,156.0,False,True,1835.0,1777.2,0,0,False,,,,,
